Price description,Price,Price Unit,Model,Fine Tuned Model,Price date,Model Version,Organization (model developer),Organization (API vendor),Context Window Tokens,Archived price link,Tags,Notes,Last Modified,Price sheet document,Created By
$10 / month for Basic Plan,$10.00000,$/month,,,2024-09-09,,,Midjourney,,https://web.archive.org/web/20240909133016/https://docs.midjourney.com/docs/plans,,,9/14/2024 5:19pm,,James Sanders
$1 / 1M input tokens,$1.00000,$/1M input tokens,Llama 3.1-70B,,2024-09-14,Llama 3.1 70B Instruct,Meta AI,Perplexity,,https://web.archive.org/web/20240914135101/https://docs.perplexity.ai/guides/pricing,,,9/14/2024 5:26pm,,James Sanders
$0.60 / 1M input tokens,$0.60000,$/1M input tokens,Llama 3.1-70B,,2024-08-27,,Meta AI,Cerebras Systems,,https://web.archive.org/web/20240913152426/https://cerebras.ai/blog/introducing-cerebras-inference-ai-at-instant-speed,,,9/14/2024 5:39pm,,James Sanders
$0.65 / 1M input tokens,$0.65000,$/1M input tokens,Llama 3.1-70B,,2024-09-14,Llama 3.1 70B Instruct,Meta AI,Replicate,,https://archive.ph/xdfSH,,,9/14/2024 5:44pm,,James Sanders
$0.14 / 1M input tokens,$0.14000,$/1M input tokens,DeepSeek-Coder-V2 236B,,2024-09-11,,DeepSeek,DeepSeek,,https://web.archive.org/web/20240911172527/https://platform.deepseek.com/api-docs/pricing/,,,9/14/2024 5:48pm,,James Sanders
$2 / 1M input tokens,$2.00000,$/1M input tokens,Reka Core,,2024-09-14,,Reka AI,Reka AI,,https://web.archive.org/web/20240914215055/https://www.reka.ai/reka-deploy,,,9/14/2024 5:53pm,,James Sanders
$10 / 1M output tokens,$10.00000,$/1M output tokens,Reka Core,,2024-09-14,,Reka AI,Reka AI,,https://web.archive.org/web/20240914215055/https://www.reka.ai/reka-deploy,,,2/5/2025 7:23pm,,Epoch AI
$5 / 1M input tokens,$5.00000,$/1M input tokens,Llama 3.1-405B,,2024-08-22,,Meta AI,Databricks,,https://web.archive.org/web/20240822165110/https://www.databricks.com/product/pricing/foundation-model-serving,,,9/14/2024 6:00pm,,James Sanders
$3 / 1M input tokens,$3.00000,$/1M input tokens,Llama 3.1-405B,,2024-08-22,,Meta AI,OctoAI,,https://web.archive.org/web/20240822165104/https://octo.ai/docs/getting-started/pricing-and-billing,,,9/14/2024 6:05pm,,James Sanders
$2 / 1M input tokens,$2.00000,$/1M input tokens,Jamba 1.5-Large,,2024-09-12,,AI21 Labs,AI21 Labs,,https://web.archive.org/web/20240912201526/https://www.ai21.com/pricing,,,2/5/2025 6:13pm,,James Sanders
$0.5 / 1M input tokens,$0.50000,$/1M input tokens,Cygnet,checked,2024-07-17,Cygnet,Gray Swan,,16000,https://web.archive.org/web/20240717201908/https://www.grayswan.ai/product/cygnet,,Instruct version has a 4k context window.,9/17/2024 5:02pm,,Luke Frymire
$1.5 / 1M output tokens,$1.50000,$/1M output tokens,Cygnet,checked,2024-07-17,Cygnet,Gray Swan,,16000,https://web.archive.org/web/20240717201908/https://www.grayswan.ai/product/cygnet,,Instruct version has 4k context window,9/17/2024 5:03pm,,Luke Frymire
$35 / 1k 1024^2 px images generated,$35.00000,$/1k 1024^2 px images generated,Stable Diffusion 3 Medium,,2024-11-06,Stable Diffusion 3 Medium,Stability AI,,,,,"""Flat rate of 3.5 credits per successful generation.""
1 credit = $0.01",11/6/2024 5:22pm,,Natalia Martemianova
$1 MTok input,$1.00000,$/1M input tokens,Claude 3.5 Haiku,,2024-11-04,,Anthropic,,,https://web.archive.org/web/20241203025152/https://www.anthropic.com/news/3-5-models-and-computer-use,,,2/3/2025 3:35pm,,Natalia Martemianova
$5 MTok output,$5.00000,$/1M output tokens,Claude 3.5 Haiku,,2024-11-04,,Anthropic,,,https://web.archive.org/web/20241203025152/https://www.anthropic.com/news/3-5-models-and-computer-use,,,2/3/2025 3:35pm,,Natalia Martemianova
$0.01 /1k input tokens,$10.00000,$/1M input tokens,GPT-4 Turbo,,2023-11-06,,OpenAI,,,https://web.archive.org/web/20240510045512/https://openai.com/index/new-models-and-developer-products-announced-at-devday/,,,12/7/2024 9:10pm,,Natalia Martemianova
$0.03 /1k output tokens,$30.00000,$/1M output tokens,GPT-4 Turbo,,2023-11-06,,OpenAI,,,https://web.archive.org/web/20240510045512/https://openai.com/index/new-models-and-developer-products-announced-at-devday/,,,12/7/2024 9:11pm,,Natalia Martemianova
$0.04 / M tokens (input),$0.04000,$/1M input tokens,Ministral 3B,,2024-10-16,,Mistral AI,,,https://web.archive.org/web/20241118160246/https://mistral.ai/news/ministraux/,,,12/7/2024 9:57pm,,Natalia Martemianova
$0.04 / M tokens (output),$0.04000,$/1M output tokens,Ministral 3B,,2024-10-16,,Mistral AI,,,https://web.archive.org/web/20241118160246/https://mistral.ai/news/ministraux/,,,12/7/2024 9:58pm,,Natalia Martemianova
$0.1 / M tokens (input),$0.10000,$/1M input tokens,Ministral 8B,,2024-10-16,,Mistral AI,,,https://web.archive.org/web/20241118160246/https://mistral.ai/news/ministraux/,,,12/7/2024 9:58pm,,Natalia Martemianova
$0.1 / M tokens (output),$0.10000,$/1M output tokens,Ministral 8B,,2024-10-16,,Mistral AI,,,https://web.archive.org/web/20241118160246/https://mistral.ai/news/ministraux/,,,12/7/2024 9:58pm,,Natalia Martemianova
$60 / M tokens,$60.00000,$/1M tokens (input or output),GPT-3 175B (davinci),,2021-11-20,,OpenAI,OpenAI,,https://web.archive.org/web/20211120082310/https://openai.com/api/pricing#faq-answers-pricing,,,2/2/2025 6:17pm,,James Sanders
$60 / M tokens,$60.00000,$/1M tokens (input or output),GPT-3 175B (davinci),,2022-08-31,,OpenAI,OpenAI,,https://web.archive.org/web/20220905191340/https://openai.com/api/pricing/#faq-which-model,,,2/2/2025 6:18pm,,James Sanders
$20 / M tokens,$20.00000,$/1M tokens (input or output),GPT-3 175B (davinci),,2022-09-01,,OpenAI,OpenAI,,https://web.archive.org/web/20220905191340/https://openai.com/api/pricing/#faq-which-model,,,2/2/2025 6:18pm,,James Sanders
$20 / M tokens,$20.00000,$/1M tokens (input or output),GPT-3 175B (davinci),,2024-01-04,,OpenAI,OpenAI,,https://archive.ph/KFtd2#selection-947.4-947.5,,,2/2/2025 6:18pm,,James Sanders
$2 / M tokens (4k context),$2.00000,$/1M tokens (input or output),GPT-3.5 Turbo,,2023-03-06,gpt-3.5-turbo-0301,OpenAI,OpenAI,4000,https://web.archive.org/web/20230306012943/https://openai.com/pricing,,,2/3/2025 3:07pm,Pricing - OpenAI API.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1738814400000/BTQqqTaHqDPvK2sNyVRBcw/yk7KqfqJJve0JORWQIpw4eNktHTONudDdR_aXQy6iXkAXPY3KGnW6EvduAI7Tj47Fzqq-ZRqcc7SZqMiOe2XPB-fkcQDAwRg_YYWZKvZdfFUtqkydWykXGNPV6sn-qYYFotj13TMRXHzLjkIz6XmBTMd8nA_EVbZ0EMIRI_z2VU/rRkf2GSE_VjjLoF_BpMFpZ8qdN7N3wfwm0dE29x1ojw),James Sanders
$20 / M tokens,$20.00000,$/1M tokens (input or output),GPT-3.5,,2022-11-30,text-davinci-003,OpenAI,OpenAI,,https://web.archive.org/web/20221209152129/https://medium.com/@boredgeeksociety/gpt-3-just-got-better-at-resolving-complex-prompts-with-davinci-003-708393805afe,,,2/3/2025 1:48pm,,James Sanders
$30 / M input tokens (<= 8k context),$30.00000,$/1M input tokens,GPT-4,,2023-03-14,gpt-4-0314,OpenAI,OpenAI,8000,https://web.archive.org/web/20230323074311/https://openai.com/pricing,,,2/3/2025 2:26pm,,James Sanders
$60 / M output tokens (<= 8k context),$60.00000,$/1M output tokens,GPT-4,,2023-03-14,gpt-4-0314,OpenAI,OpenAI,8000,https://web.archive.org/web/20230323074311/https://openai.com/pricing,,,2/3/2025 2:26pm,,James Sanders
$60 / M input tokens (<= 32k context),$60.00000,$/1M input tokens,GPT-4,,2023-03-14,gpt-4-32k-0314,OpenAI,OpenAI,32000,https://web.archive.org/web/20230323074311/https://openai.com/pricing,,,2/3/2025 2:26pm,,James Sanders
$120 / M output tokens (<= 32k context),$120.00000,$/1M output tokens,GPT-4,,2023-03-14,gpt-4-32k-0314,OpenAI,OpenAI,32000,https://web.archive.org/web/20230323074311/https://openai.com/pricing,,,2/3/2025 2:26pm,,James Sanders
$1.5 / M input tokens (4k context),$1.50000,$/1M input tokens,GPT-3.5 Turbo,,2023-06-13,gpt-3.5-turbo-0613,OpenAI,OpenAI,4000,https://web.archive.org/web/20250128194811/https://openai.com/index/function-calling-and-other-api-updates/,,,2/3/2025 3:07pm,Pricing - OpenAI API.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1738814400000/BTQqqTaHqDPvK2sNyVRBcw/yk7KqfqJJve0JORWQIpw4eNktHTONudDdR_aXQy6iXkAXPY3KGnW6EvduAI7Tj47Fzqq-ZRqcc7SZqMiOe2XPB-fkcQDAwRg_YYWZKvZdfFUtqkydWykXGNPV6sn-qYYFotj13TMRXHzLjkIz6XmBTMd8nA_EVbZ0EMIRI_z2VU/rRkf2GSE_VjjLoF_BpMFpZ8qdN7N3wfwm0dE29x1ojw),James Sanders
$2 / M output tokens (4k context),$2.00000,$/1M output tokens,GPT-3.5 Turbo,,2023-06-13,gpt-3.5-turbo-0613,OpenAI,OpenAI,4000,https://web.archive.org/web/20250128194811/https://openai.com/index/function-calling-and-other-api-updates/,,,2/3/2025 3:07pm,Pricing - OpenAI API.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1738814400000/BTQqqTaHqDPvK2sNyVRBcw/yk7KqfqJJve0JORWQIpw4eNktHTONudDdR_aXQy6iXkAXPY3KGnW6EvduAI7Tj47Fzqq-ZRqcc7SZqMiOe2XPB-fkcQDAwRg_YYWZKvZdfFUtqkydWykXGNPV6sn-qYYFotj13TMRXHzLjkIz6XmBTMd8nA_EVbZ0EMIRI_z2VU/rRkf2GSE_VjjLoF_BpMFpZ8qdN7N3wfwm0dE29x1ojw),James Sanders
$3 / M input tokens (16k context),$3.00000,$/1M input tokens,GPT-3.5 Turbo,,2023-06-13,gpt-3.5-turbo-16k-0613,OpenAI,OpenAI,16000,https://web.archive.org/web/20250128194811/https://openai.com/index/function-calling-and-other-api-updates/,,,2/3/2025 3:07pm,Pricing - OpenAI API.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1738814400000/BTQqqTaHqDPvK2sNyVRBcw/yk7KqfqJJve0JORWQIpw4eNktHTONudDdR_aXQy6iXkAXPY3KGnW6EvduAI7Tj47Fzqq-ZRqcc7SZqMiOe2XPB-fkcQDAwRg_YYWZKvZdfFUtqkydWykXGNPV6sn-qYYFotj13TMRXHzLjkIz6XmBTMd8nA_EVbZ0EMIRI_z2VU/rRkf2GSE_VjjLoF_BpMFpZ8qdN7N3wfwm0dE29x1ojw),James Sanders
$4 / M output tokens (16k context),$4.00000,$/1M output tokens,GPT-3.5 Turbo,,2023-06-13,gpt-3.5-turbo-16k-0613,OpenAI,OpenAI,16000,https://web.archive.org/web/20250128194811/https://openai.com/index/function-calling-and-other-api-updates/,,,2/3/2025 3:07pm,Pricing - OpenAI API.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1738814400000/BTQqqTaHqDPvK2sNyVRBcw/yk7KqfqJJve0JORWQIpw4eNktHTONudDdR_aXQy6iXkAXPY3KGnW6EvduAI7Tj47Fzqq-ZRqcc7SZqMiOe2XPB-fkcQDAwRg_YYWZKvZdfFUtqkydWykXGNPV6sn-qYYFotj13TMRXHzLjkIz6XmBTMd8nA_EVbZ0EMIRI_z2VU/rRkf2GSE_VjjLoF_BpMFpZ8qdN7N3wfwm0dE29x1ojw),James Sanders
$1 / M input tokens (4k context),$1.00000,$/1M input tokens,GPT-3.5 Turbo,,2023-11-06,gpt-3.5-turbo-1106,OpenAI,OpenAI,4000,https://web.archive.org/web/20231122181749/https://openai.com/pricing,,,2/3/2025 3:07pm,Pricing - OpenAI API.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1738814400000/BTQqqTaHqDPvK2sNyVRBcw/yk7KqfqJJve0JORWQIpw4eNktHTONudDdR_aXQy6iXkAXPY3KGnW6EvduAI7Tj47Fzqq-ZRqcc7SZqMiOe2XPB-fkcQDAwRg_YYWZKvZdfFUtqkydWykXGNPV6sn-qYYFotj13TMRXHzLjkIz6XmBTMd8nA_EVbZ0EMIRI_z2VU/rRkf2GSE_VjjLoF_BpMFpZ8qdN7N3wfwm0dE29x1ojw),James Sanders
$2 / M output tokens (4k context),$2.00000,$/1M output tokens,GPT-3.5 Turbo,,2023-11-06,gpt-3.5-turbo-1106,OpenAI,OpenAI,4000,https://web.archive.org/web/20231122181749/https://openai.com/pricing,,,2/3/2025 3:07pm,Pricing - OpenAI API.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1738814400000/BTQqqTaHqDPvK2sNyVRBcw/yk7KqfqJJve0JORWQIpw4eNktHTONudDdR_aXQy6iXkAXPY3KGnW6EvduAI7Tj47Fzqq-ZRqcc7SZqMiOe2XPB-fkcQDAwRg_YYWZKvZdfFUtqkydWykXGNPV6sn-qYYFotj13TMRXHzLjkIz6XmBTMd8nA_EVbZ0EMIRI_z2VU/rRkf2GSE_VjjLoF_BpMFpZ8qdN7N3wfwm0dE29x1ojw),James Sanders
$0.5 / M input tokens (4k context),$0.50000,$/1M input tokens,GPT-3.5 Turbo,,2024-01-25,gpt-3.5-turbo-0125,OpenAI,OpenAI,4000,https://web.archive.org/web/20241225022709/https://www.businessinsider.com/openai-drop-prices-new-gpt-turbo-model-amid-flurry-updates-2024-1,,,2/3/2025 3:07pm,Pricing - OpenAI API.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1738814400000/BTQqqTaHqDPvK2sNyVRBcw/yk7KqfqJJve0JORWQIpw4eNktHTONudDdR_aXQy6iXkAXPY3KGnW6EvduAI7Tj47Fzqq-ZRqcc7SZqMiOe2XPB-fkcQDAwRg_YYWZKvZdfFUtqkydWykXGNPV6sn-qYYFotj13TMRXHzLjkIz6XmBTMd8nA_EVbZ0EMIRI_z2VU/rRkf2GSE_VjjLoF_BpMFpZ8qdN7N3wfwm0dE29x1ojw),James Sanders
$1.5 / M output tokens (4k context),$1.50000,$/1M output tokens,GPT-3.5 Turbo,,2024-01-25,gpt-3.5-turbo-0125,OpenAI,OpenAI,4000,https://web.archive.org/web/20241225022709/https://www.businessinsider.com/openai-drop-prices-new-gpt-turbo-model-amid-flurry-updates-2024-1,,,2/3/2025 3:07pm,Pricing - OpenAI API.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1738814400000/BTQqqTaHqDPvK2sNyVRBcw/yk7KqfqJJve0JORWQIpw4eNktHTONudDdR_aXQy6iXkAXPY3KGnW6EvduAI7Tj47Fzqq-ZRqcc7SZqMiOe2XPB-fkcQDAwRg_YYWZKvZdfFUtqkydWykXGNPV6sn-qYYFotj13TMRXHzLjkIz6XmBTMd8nA_EVbZ0EMIRI_z2VU/rRkf2GSE_VjjLoF_BpMFpZ8qdN7N3wfwm0dE29x1ojw),James Sanders
$1.1 / 1M input tokens ,$1.10000,$/1M input tokens,o1-mini,,2025-01-31,o1-mini-2024-09-12,OpenAI,OpenAI,,https://archive.ph/VE95w,,You are also charged for hidden reasoning tokens,2/3/2025 3:26pm,,James Sanders
$4.4 / 1M output tokens,$4.40000,$/1M output tokens,o1-mini,,2025-01-31,o1-mini-2024-09-12,OpenAI,OpenAI,,https://archive.ph/VE95w,,You are also charged for hidden reasoning tokens,2/3/2025 3:27pm,,James Sanders
$15 / 1M input tokens,$15.00000,$/1M input tokens,o1,,2024-12-17,o1-2024-12-17,OpenAI,OpenAI,,https://web.archive.org/web/20241224075719/https://openai.com/api/pricing/,,You are also charged for hidden reasoning tokens,2/3/2025 3:31pm,,James Sanders
$60 / 1M output tokens,$60.00000,$/1M output tokens,o1,,2024-12-17,o1-2024-12-17,OpenAI,OpenAI,,https://web.archive.org/web/20241224075719/https://openai.com/api/pricing/,,You are also charged for hidden reasoning tokens,2/3/2025 3:31pm,,James Sanders
$1.1 / 1M input tokens,$1.10000,$/1M input tokens,o3-mini,,2025-01-31,o3-mini-2025-01-31,OpenAI,OpenAI,,https://archive.ph/VE95w,,You are also charged for hidden reasoning tokens,2/3/2025 3:32pm,,James Sanders
$4.4 / 1M output tokens,$4.40000,$/1M output tokens,o3-mini,,2025-01-31,o3-mini-2025-01-31,OpenAI,OpenAI,,https://archive.ph/VE95w,,You are also charged for hidden reasoning tokens,2/3/2025 3:33pm,,James Sanders
$0.55 / 1M input tokens,$0.55000,$/1M input tokens,DeepSeek-R1,,2025-01-20,,DeepSeek,DeepSeek,,https://web.archive.org/web/20250130084330/https://api-docs.deepseek.com/news/news250120,,Non cached price (cache miss),2/3/2025 4:05pm,,James Sanders
$2.19 / 1M output tokens,$2.19000,$/1M output tokens,DeepSeek-R1,,2025-01-20,,DeepSeek,DeepSeek,,https://web.archive.org/web/20250130084330/https://api-docs.deepseek.com/news/news250120,,,2/3/2025 4:05pm,,James Sanders
$0.27 / 1M input tokens,$0.27000,$/1M input tokens,DeepSeek-V3,,2024-12-26,,DeepSeek,DeepSeek,,https://web.archive.org/web/20250131235106/https://api-docs.deepseek.com/news/news1226,,Non cached price (cache miss). They have a temporary promotional sale price. This is the normal price,2/3/2025 4:08pm,,James Sanders
$1.1 / 1M output tokens,$1.10000,$/1M output tokens,DeepSeek-V3,,2024-12-26,,DeepSeek,DeepSeek,,https://web.archive.org/web/20250131235106/https://api-docs.deepseek.com/news/news1226,,They have a temporary promotional sale price. This is the normal price,2/3/2025 4:08pm,,James Sanders
$0.70 / 1M input tokens,$0.70000,$/1M input tokens,Llama 2-70B,,2023-12-01,,Meta AI,DeepInfra,,https://web.archive.org/web/20231201234723/https://deepinfra.com/meta-llama/Llama-2-70b-chat-hf/api,,,2/3/2025 4:32pm,,James Sanders
$0.95 / 1M output tokens,$0.95000,$/1M output tokens,Llama 2-70B,,2023-12-01,,Meta AI,DeepInfra,,https://web.archive.org/web/20231201234723/https://deepinfra.com/meta-llama/Llama-2-70b-chat-hf/api,,,2/3/2025 4:58pm,,James Sanders
$0.35 / 1M token,$0.35000,$/1M tokens (input or output),Llama 2-13B,,2023-12-08,,Meta AI,DeepInfra,,https://web.archive.org/web/20231208122434/https://deepinfra.com/meta-llama/Llama-2-13b-chat-hf,,,2/3/2025 5:00pm,,James Sanders
$0.22 / 1M token,$0.22000,$/1M tokens (input or output),Llama 2-13B,,2024-04-14,,Meta AI,DeepInfra,,https://web.archive.org/web/20240414171742/https://deepinfra.com/meta-llama/Llama-2-13b-chat-hf,,,2/3/2025 5:00pm,,James Sanders
$0.20 / 1M token,$0.20000,$/1M tokens (input or output),Llama 2-7B,,2023-12-01,,Meta AI,DeepInfra,,https://web.archive.org/web/20231201223505/https://deepinfra.com/meta-llama/Llama-2-7b-chat-hf,,,2/3/2025 5:01pm,,James Sanders
$0.13 / 1M token,$0.13000,$/1M tokens (input or output),Llama 2-7B,,2024-04-14,,Meta AI,DeepInfra,,https://web.archive.org/web/20240414165759/https://deepinfra.com/meta-llama/Llama-2-7b-chat-hf,,,2/3/2025 5:02pm,,James Sanders
$8 / 1M output tokens,$8.00000,$/1M output tokens,Jamba 1.5-Large,,2024-09-12,,AI21 Labs,AI21 Labs,,https://web.archive.org/web/20240912201526/https://www.ai21.com/pricing,,,2/5/2025 6:14pm,,Epoch AI
$10 / 1M output tokens,$10.00000,$/1M output tokens,Command R+,,2024-09-13,,"Cohere,Cohere for AI",Cohere,,https://web.archive.org/web/20240913064105/https://cohere.com/pricing,,,2/5/2025 7:18pm,,Epoch AI
$0.28 / 1M output tokens,$0.28000,$/1M output tokens,DeepSeek-Coder-V2 236B,,2024-09-11,,DeepSeek,DeepSeek,,https://web.archive.org/web/20240911172527/https://platform.deepseek.com/api-docs/pricing/,,,2/5/2025 7:19pm,,Epoch AI
